# avg. speed [m/s],,
14.49,,3.086666667
7.8,,
4.85,,
2.07,,
3.39,,
1.77,,
3.31,,
2.72,,
2.6,,
3.4,,
1.96,,
3.35,,
1.92,,
2.88,,
2.84,,
2.79,,
3.18,,
2.07,,
3.36,,
1.97,,
3.07,,
2.9,,
2.64,,
3.25,,
2.32,,
3.26,,
2,,
3.14,,
2.85,,
2.53,,
3.19,,
2.22,,
3.25,,
2.28,,
3.11,,
2.87,,
2.63,,
3.06,,
2.34,,
3.33,,
2.32,,
3.12,,
2.23,,
2.97,,
3.72,,
2.03,,
3.16,,
1.48,,
3.79,,
2.52,,
2.36,,
3.51,,
1.43,,
2.97,,
1.48,,
3.24,,
2.56,,
2.61,,
3.2,,
1.87,,
3.67,,
