# avg. speed [m/s],,
13.54,,2.571833333
5.99,,
3.23,,
2.46,,
2.1,,
2.34,,
2.27,,
2.41,,
2.28,,
2.38,,
2.21,,
2.19,,
2.3,,
2.42,,
2.26,,
2.3,,
2.28,,
2.22,,
2.28,,
2.38,,
2.3,,
2.42,,
2.3,,
2.41,,
2.3,,
2.32,,
2.19,,
2.16,,
2.4,,
2.42,,
2.46,,
2.25,,
2.22,,
2.56,,
1.87,,
2.61,,
2.82,,
1.71,,
1.89,,
2.71,,
2.41,,
2.31,,
2.18,,
2.16,,
2.17,,
2.24,,
2.57,,
2.06,,
1.91,,
1.97,,
2.43,,
2.66,,
2.02,,
1.96,,
1.9,,
1.91,,
2.34,,
2.3,,
2.14,,
1.8,,
2.71,,
