# avg. speed [m/s],,
15.14,,2.668166667
7.83,,
5.15,,
3.59,,
2.39,,
2.34,,
2.32,,
2.4,,
2.24,,
2.32,,
2.21,,
2.23,,
2.07,,
2.39,,
2.26,,
2.21,,
2.32,,
2.25,,
2.38,,
2.33,,
2.38,,
2.31,,
2.37,,
2.24,,
2.28,,
2.24,,
2.66,,
2.14,,
2.4,,
2.48,,
2.09,,
2.25,,
1.76,,
2.81,,
2.13,,
1.93,,
2.37,,
2.13,,
2.7,,
1.99,,
2.29,,
2.55,,
2.19,,
2.3,,
2.14,,
1.98,,
2.05,,
2.32,,
2.07,,
2.04,,
1.94,,
2.12,,
2.2,,
2.09,,
2.18,,
2.07,,
2.29,,
2.27,,
2.05,,
2.08,,
2.84,,
